Dataset,Model,N_features,AUROC,AUROC_95CI,AUPRC,Brier,Delta_AUROC,Inflation_%
Leakage-free (W6),LR,55,0.8473,[0.8234–0.8765],0.3826,0.1481,,
Leakage-free (W6),XGB,55,0.8678,[0.8441–0.8903],0.4637,0.0578,,
Naive-1 (W24->24h),LR,60,0.8062,[0.7496–0.8565],0.0776,0.1673,-0.0411,-4.9%
Naive-1 (W24->24h),XGB,60,0.8186,[0.7534–0.8754],0.0988,0.0159,-0.0492,-5.7%
Naive-2 (process),LR,58,0.9925,[0.9882–0.9965],0.9542,0.0271,+0.1452,17.1%
Naive-2 (process),XGB,58,0.9936,[0.9887–0.9971],0.9595,0.0127,+0.1258,14.5%
Negative control,LR,,0.5103,[0.4760–0.5467],0.0895,0.2492,,
Negative control,XGB,,0.5013,[0.4642–0.5453],0.0851,0.0771,,
